Airline name ,Travel Time,Number of Stoppage(s),Ticket price(Dollar),Departure Airport,Departure Time,1st Stoppage Waiting Time,1st Stoppage,2nd Stoppage Waiting Time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date
American,32:45:00,2,2080.0,DAC,20:15:00,9h 0m,DOH,3h 10m,BOS,,,JFK,19:00:00,04-09
American,48:24:00,2,2088.0,DAC,20:15:00,9h 0m,DOH,18h 46m,BOS,,,JFK,10:39:00,04-09
American,50:44:00,2,2088.0,DAC,20:15:00,9h 0m,DOH,21h 8m,BOS,,,JFK,12:59:00,04-09
American,53:1:00,2,2088.0,DAC,20:15:00,9h 0m,DOH,23h 25m,BOS,,,JFK,15:16:00,04-08
Qatar,44:34:00,2,2120.0,DAC,10:50:00,18h 25m,DOH,5h 8m,BOS,,,JFK,21:24:00,04-08
Qatar,49:54:00,2,2120.0,DAC,05:30:00,23h 45m,DOH,5h 8m,BOS,,,JFK,21:24:00,04-09
Air India,50:55:00,2,2199.0,DAC,14:40:00,19h 10m,CCU,13h 55m,DEL,,,JFK,07:35:00,04-09
Air India,50:55:00,2,2199.0,DAC,14:40:00,15h 30m,CCU,17h 5m,DEL,,,JFK,07:35:00,04-09
Singapore,45:15:00,1,2235.0,DAC,23:55:00,17h 50m,SIN,,,,,JFK,11:10:00,04-08
British,24:50:00,2,2266.0,DAC,20:15:00,2h 10m,DOH,2h 0m,LHR,,,JFK,11:05:00,
Multiple,23:5:00,2,2393.0,DAC,10:15:00,1h 10m,DXB,1h 35m,LHR,,,JFK,23:20:00,04-08
Gulf Air Company,37:50:00,2,2404.0,DAC,05:40:00,12h 25m,BAH,4h 20m,AUH,,,JFK,09:30:00,04-08
Gulf Air Company,44:20:00,2,2404.0,DAC,05:40:00,12h 25m,BAH,10h 50m,AUH,,,JFK,16:00:00,
Multiple,21:20:00,1,2416.0,DAC,03:35:00,1h 35m,DOH,,,,,JFK,14:55:00,04-08
Multiple,21:40:00,1,2416.0,DAC,21:30:00,1h 25m,DOH,,,,,JFK,09:10:00,04-08
Multiple,27:25:00,1,2416.0,DAC,21:30:00,7h 40m,DOH,,,,,JFK,14:55:00,04-08
Multiple,32:20:00,1,2420.0,DAC,10:50:00,12h 5m,DOH,,,,,JFK,09:10:00,04-08
Multiple,37:40:00,1,2420.0,DAC,05:30:00,17h 25m,DOH,,,,,JFK,09:10:00,
Qatar,21:45:00,1,2426.0,DAC,03:35:00,1h 50m,DOH,,,,,JFK,15:20:00,04-08
Qatar,27:50:00,1,2426.0,DAC,21:30:00,7h 55m,DOH,,,,,JFK,15:20:00,
Qatar,28:55:00,1,2426.0,DAC,03:35:00,9h 0m,DOH,,,,,JFK,22:30:00,04-08
